Code,Source,Exchange,Symbol,Depth,Rule,Name,Method,Data Start Date
SCF/CME_SM1_FB,SCF,CME,SM,1,FB,CBOT Soybean Meal,"Roll on First Day of Month, Backwards Panama Canal Method",19/03/1964
SCF/CME_SM1_FF,SCF,CME,SM,1,FF,CBOT Soybean Meal,"Roll on First Day of Month, Forwards Panama Canal Method",19/03/1964
SCF/CME_SM1_FN,SCF,CME,SM,1,FN,CBOT Soybean Meal,"Roll on First Day of Month, No Price Adjustment",19/03/1964
SCF/CME_SM1_FR,SCF,CME,SM,1,FR,CBOT Soybean Meal,"Roll on First Day of Month, Backwards Ratio Method",19/03/1964
SCF/CME_SM1_FW,SCF,CME,SM,1,FW,CBOT Soybean Meal,"Roll on First Day of Month, Calendar-Weighted Method",19/03/1964
SCF/CME_SM1_OB,SCF,CME,SM,1,OB,CBOT Soybean Meal,"Roll on Open Interest Switch, Backwards Panama Canal Method",19/03/1964
SCF/CME_SM1_OF,SCF,CME,SM,1,OF,CBOT Soybean Meal,"Roll on Open Interest Switch, Forwards Panama Canal Method",19/03/1964
SCF/CME_SM1_ON,SCF,CME,SM,1,ON,CBOT Soybean Meal,"Roll on Open Interest Switch, No Price Adjustment",19/03/1964
SCF/CME_SM1_OR,SCF,CME,SM,1,OR,CBOT Soybean Meal,"Roll on Open Interest Switch, Backwards Ratio Method",19/03/1964
SCF/CME_SM2_EB,SCF,CME,SM,2,EB,CBOT Soybean Meal,"Roll on Last Trading Day, Backwards Panama Canal Method",19/03/1964
SCF/CME_SM2_EF,SCF,CME,SM,2,EF,CBOT Soybean Meal,"Roll on Last Trading Day, Forwards Panama Canal Method",19/03/1964
SCF/CME_SM2_EN,SCF,CME,SM,2,EN,CBOT Soybean Meal,"Roll on Last Trading Day, No Price Adjustment",19/03/1964
SCF/CME_SM2_ER,SCF,CME,SM,2,ER,CBOT Soybean Meal,"Roll on Last Trading Day, Backwards Ratio Method",19/03/1964
SCF/CME_SM2_EW,SCF,CME,SM,2,EW,CBOT Soybean Meal,"Roll on Last Trading Day, Calendar-Weighted Method",19/03/1964
SCF/CME_SM2_FB,SCF,CME,SM,2,FB,CBOT Soybean Meal,"Roll on First Day of Month, Backwards Panama Canal Method",19/03/1964
SCF/CME_SM2_FF,SCF,CME,SM,2,FF,CBOT Soybean Meal,"Roll on First Day of Month, Forwards Panama Canal Method",19/03/1964
SCF/CME_SM2_FN,SCF,CME,SM,2,FN,CBOT Soybean Meal,"Roll on First Day of Month, No Price Adjustment",19/03/1964
SCF/CME_SM2_FR,SCF,CME,SM,2,FR,CBOT Soybean Meal,"Roll on First Day of Month, Backwards Ratio Method",19/03/1964
SCF/CME_SM2_FW,SCF,CME,SM,2,FW,CBOT Soybean Meal,"Roll on First Day of Month, Calendar-Weighted Method",19/03/1964
SCF/CME_SM2_OB,SCF,CME,SM,2,OB,CBOT Soybean Meal,"Roll on Open Interest Switch, Backwards Panama Canal Method",19/03/1964
SCF/CME_SM2_OF,SCF,CME,SM,2,OF,CBOT Soybean Meal,"Roll on Open Interest Switch, Forwards Panama Canal Method",19/03/1964
SCF/CME_SM2_ON,SCF,CME,SM,2,ON,CBOT Soybean Meal,"Roll on Open Interest Switch, No Price Adjustment",19/03/1964
SCF/CME_SM2_OR,SCF,CME,SM,2,OR,CBOT Soybean Meal,"Roll on Open Interest Switch, Backwards Ratio Method",19/03/1964
SCF/CME_BO1_EB,SCF,CME,BO,1,EB,CBOT Soybean Oil,"Roll on Last Trading Day, Backwards Panama Canal Method",20/09/1961
