FTSE Index,
Date,Closing Price
29/05/2012,5391.14
30/05/2012,5297.28
31/05/2012,5320.86
01/06/2012,5260.19
06/06/2012,5384.11
07/06/2012,5447.79
08/06/2012,5435.08
11/06/2012,5432.37
12/06/2012,5473.74
13/06/2012,5483.81
14/06/2012,5467.05
15/06/2012,5478.81
18/06/2012,5491.09
19/06/2012,5586.31
20/06/2012,5622.29
21/06/2012,5566.36
22/06/2012,5513.69
25/06/2012,5450.65
26/06/2012,5446.96
27/06/2012,5523.92
28/06/2012,5493.06
29/06/2012,5571.15
02/07/2012,5640.64
03/07/2012,5687.73
04/07/2012,5684.47
05/07/2012,5692.63
06/07/2012,5662.63
09/07/2012,5627.33
10/07/2012,5664.07
11/07/2012,5664.48
12/07/2012,5608.25
13/07/2012,5666.13
16/07/2012,5662.43
17/07/2012,5629.09
18/07/2012,5685.77
19/07/2012,5714.19
20/07/2012,5651.77
23/07/2012,5533.87
24/07/2012,5499.23
25/07/2012,5498.32
26/07/2012,5573.16
27/07/2012,5627.21
30/07/2012,5693.63
31/07/2012,5635.28
01/08/2012,5712.82
02/08/2012,5662.3
03/08/2012,5787.28
06/08/2012,5808.77
07/08/2012,5841.24
08/08/2012,5845.92
09/08/2012,5851.51
10/08/2012,5847.11
13/08/2012,5831.88
14/08/2012,5864.78
15/08/2012,5833.04
16/08/2012,5834.51
17/08/2012,5852.42
20/08/2012,5824.37
21/08/2012,5857.52
22/08/2012,5774.2
23/08/2012,5776.6
24/08/2012,5776.6
28/08/2012,5775.71
29/08/2012,5743.53
30/08/2012,5719.45
31/08/2012,5711.48
03/09/2012,5758.41
04/09/2012,5672.01
05/09/2012,5657.86
06/09/2012,5777.34
07/09/2012,5794.8
10/09/2012,5793.2
11/09/2012,5792.19
12/09/2012,5782.08
13/09/2012,5819.92
14/09/2012,5915.55
17/09/2012,5893.52
18/09/2012,5868.16
19/09/2012,5888.48
20/09/2012,5854.64
21/09/2012,5852.62
24/09/2012,5838.84
25/09/2012,5859.71
26/09/2012,5768.09
27/09/2012,5779.42
28/09/2012,5742.07
01/10/2012,5820.45
02/10/2012,5809.45
03/10/2012,5825.81
04/10/2012,5827.78
05/10/2012,5871.02
08/10/2012,5841.74
09/10/2012,5810.25
10/10/2012,5776.71
11/10/2012,5829.75
12/10/2012,5793.32
15/10/2012,5805.61
16/10/2012,5870.54
17/10/2012,5910.91
18/10/2012,5917.05
19/10/2012,5896.15
22/10/2012,5882.91
23/10/2012,5797.91
24/10/2012,5804.78
25/10/2012,5805.05
26/10/2012,5806.71
29/10/2012,5795.1
30/10/2012,5849.9
31/10/2012,5782.7
01/11/2012,5861.92
02/11/2012,5868.55
05/11/2012,5839.06
06/11/2012,5884.9
07/11/2012,5791.63
08/11/2012,5776.05
09/11/2012,5769.68
12/11/2012,5767.27
13/11/2012,5786.25
14/11/2012,5722.01
15/11/2012,5677.75
16/11/2012,5605.59
19/11/2012,5737.66
20/11/2012,5748.1
21/11/2012,5752.03
22/11/2012,5791.03
23/11/2012,5819.14
26/11/2012,5786.72
27/11/2012,5799.71
28/11/2012,5803.28
29/11/2012,5870.3
30/11/2012,5866.82
03/12/2012,5871.24
04/12/2012,5869.04
05/12/2012,5892.08
06/12/2012,5901.42
07/12/2012,5914.4
10/12/2012,5921.63
11/12/2012,5924.97
12/12/2012,5945.85
13/12/2012,5929.61
14/12/2012,5921.76
17/12/2012,5912.15
18/12/2012,5935.9
19/12/2012,5961.59
20/12/2012,5958.34
21/12/2012,5939.99
24/12/2012,5954.18
27/12/2012,5954.3
28/12/2012,5925.37
31/12/2012,5897.81
02/01/2013,6027.37
03/01/2013,6047.34
04/01/2013,6089.84
07/01/2013,6064.58
08/01/2013,6053.63
09/01/2013,6098.65
10/01/2013,6101.51
11/01/2013,6121.58
14/01/2013,6107.86
15/01/2013,6117.31
16/01/2013,6103.98
17/01/2013,6132.36
18/01/2013,6154.41
21/01/2013,6180.98
22/01/2013,6179.17
23/01/2013,6197.64
24/01/2013,6264.91
25/01/2013,6284.45
28/01/2013,6294.41
29/01/2013,6339.19
30/01/2013,6323.11
31/01/2013,6276.88
01/02/2013,6347.24
04/02/2013,6246.84
05/02/2013,6282.76
06/02/2013,6295.34
07/02/2013,6228.42
08/02/2013,6263.93
11/02/2013,6277.06
12/02/2013,6338.38
13/02/2013,6359.11
14/02/2013,6327.36
15/02/2013,6328.26
18/02/2013,6318.19
19/02/2013,6379.07
20/02/2013,6395.37
21/02/2013,6291.54
22/02/2013,6335.7
25/02/2013,6355.37
26/02/2013,6270.44
27/02/2013,6325.88
28/02/2013,6360.81
01/03/2013,6378.6
04/03/2013,6345.63
05/03/2013,6431.95
06/03/2013,6427.64
07/03/2013,6439.16
08/03/2013,6483.58
11/03/2013,6503.63
12/03/2013,6510.62
13/03/2013,6481.5
14/03/2013,6529.41
15/03/2013,6489.65
18/03/2013,6457.92
19/03/2013,6441.32
20/03/2013,6432.7
21/03/2013,6388.55
22/03/2013,6392.76
25/03/2013,6378.38
26/03/2013,6399.37
27/03/2013,6387.56
28/03/2013,6411.74
02/04/2013,6490.66
03/04/2013,6420.28
04/04/2013,6344.12
05/04/2013,6249.78
08/04/2013,6276.94
09/04/2013,6313.21
10/04/2013,6387.37
11/04/2013,6416.14
12/04/2013,6384.39
15/04/2013,6343.6
16/04/2013,6304.58
17/04/2013,6244.21
18/04/2013,6243.67
19/04/2013,6286.59
22/04/2013,6280.62
23/04/2013,6406.12
24/04/2013,6431.76
25/04/2013,6442.59
26/04/2013,6426.42
29/04/2013,6458.02
30/04/2013,6430.12
01/05/2013,6451.29
02/05/2013,6460.71
03/05/2013,6521.46
07/05/2013,6557.3
08/05/2013,6583.48
09/05/2013,6592.74
10/05/2013,6624.98
13/05/2013,6631.76
14/05/2013,6686.06
15/05/2013,6693.55
16/05/2013,6687.8
17/05/2013,6723.06
20/05/2013,6755.63
21/05/2013,6803.87
22/05/2013,6840.27
23/05/2013,6696.79
24/05/2013,6654.34
28/05/2013,6762.01
29/05/2013,6627.17
30/05/2013,6656.99
31/05/2013,6583.09
03/06/2013,6525.12
04/06/2013,6558.58
05/06/2013,6419.31
06/06/2013,6336.11
07/06/2013,6411.99
10/06/2013,6400.45
11/06/2013,6340.08
12/06/2013,6299.45
13/06/2013,6304.63
14/06/2013,6308.26
17/06/2013,6330.49
18/06/2013,6374.21
19/06/2013,6348.82
20/06/2013,6159.51
21/06/2013,6116.17
24/06/2013,6029.1
25/06/2013,6101.91
26/06/2013,6165.48
27/06/2013,6243.4
28/06/2013,6215.47
01/07/2013,6307.78
02/07/2013,6303.94
03/07/2013,6229.87
04/07/2013,6421.67
05/07/2013,6375.52
08/07/2013,6450.07
09/07/2013,6513.08
10/07/2013,6504.96
11/07/2013,6543.41
12/07/2013,6544.94
15/07/2013,6586.11
16/07/2013,6556.35
17/07/2013,6571.93
18/07/2013,6634.36
19/07/2013,6630.67
